technology,parameter,technology_year,value
BEV,investment_cost,2020,2000000
BEV,investment_cost,2025,2000000
BEV,investment_cost,2030,2000000
BEV,investment_cost,2035,2000000
BEV,investment_cost,2040,2000000
BEV,investment_cost,2045,2000000
BEV,investment_cost,2050,2000000
BEV,lifetime,2015,20
BEV,lifetime,2020,20
BEV,lifetime,2025,20
BEV,lifetime,2030,20
BEV,lifetime,2035,20
BEV,lifetime,2040,20
BEV,lifetime,2045,20
BEV,lifetime,2050,20
BEV battery,lifetime,2015,20
BEV battery,lifetime,2020,20
BEV battery,lifetime,2025,20
BEV battery,lifetime,2030,20
BEV battery,lifetime,2035,20
BEV battery,lifetime,2040,20
BEV battery,lifetime,2045,20
BEV battery,lifetime,2050,20
BEV battery,parent_ratio,2015,4.4
BEV battery,parent_ratio,2020,4.4
BEV battery,parent_ratio,2025,4.4
BEV battery,parent_ratio,2030,4.4
BEV battery,parent_ratio,2035,4.4
BEV battery,parent_ratio,2040,4.4
BEV battery,parent_ratio,2045,4.4
BEV battery,parent_ratio,2050,4.4
BEV charger,efficiency,2015,0.9
BEV charger,efficiency,2020,0.9
BEV charger,efficiency,2025,0.9
BEV charger,efficiency,2030,0.9
BEV charger,efficiency,2035,0.9
BEV charger,efficiency,2040,0.9
BEV charger,efficiency,2045,0.9
BEV charger,efficiency,2050,0.9
BEV charger,lifetime,2015,20
BEV charger,lifetime,2020,20
BEV charger,lifetime,2025,20
BEV charger,lifetime,2030,20
BEV charger,lifetime,2035,20
BEV charger,lifetime,2040,20
BEV charger,lifetime,2045,20
BEV charger,lifetime,2050,20
BEV charger,parent_ratio,2015,0.99
BEV charger,parent_ratio,2020,0.99
BEV charger,parent_ratio,2025,0.99
BEV charger,parent_ratio,2030,0.99
BEV charger,parent_ratio,2035,0.99
BEV charger,parent_ratio,2040,0.99
BEV charger,parent_ratio,2045,0.99
BEV charger,parent_ratio,2050,0.99
BEV V2G,efficiency,2015,0.9
BEV V2G,efficiency,2020,0.9
BEV V2G,efficiency,2025,0.9
BEV V2G,efficiency,2030,0.9
BEV V2G,efficiency,2035,0.9
BEV V2G,efficiency,2040,0.9
BEV V2G,efficiency,2045,0.9
BEV V2G,efficiency,2050,0.9
BEV V2G,lifetime,2015,20
BEV V2G,lifetime,2020,20
BEV V2G,lifetime,2025,20
BEV V2G,lifetime,2030,20
BEV V2G,lifetime,2035,20
BEV V2G,lifetime,2040,20
BEV V2G,lifetime,2045,20
BEV V2G,lifetime,2050,20
BEV V2G,parent_ratio,2015,1.1
BEV V2G,parent_ratio,2020,1.1
BEV V2G,parent_ratio,2025,1.1
BEV V2G,parent_ratio,2030,1.1
BEV V2G,parent_ratio,2035,1.1
BEV V2G,parent_ratio,2040,1.1
BEV V2G,parent_ratio,2045,1.1
BEV V2G,parent_ratio,2050,1.1
BEV V2G,variable_cost,2015,52
BEV V2G,variable_cost,2020,52
BEV V2G,variable_cost,2025,52
BEV V2G,variable_cost,2030,52
BEV V2G,variable_cost,2035,52
BEV V2G,variable_cost,2040,52
BEV V2G,variable_cost,2045,52
BEV V2G,variable_cost,2050,52
biogas CHP,efficiency,2015,0.41
biogas CHP,efficiency,2020,0.41
biogas CHP,efficiency,2025,0.41
biogas CHP,efficiency,2030,0.41
biogas CHP,efficiency,2035,0.41
biogas CHP,efficiency,2040,0.41
biogas CHP,efficiency,2045,0.41
biogas CHP,efficiency,2050,0.41
biogas CHP,efficiency2,2015,0.48
biogas CHP,efficiency2,2020,0.48
biogas CHP,efficiency2,2025,0.48
biogas CHP,efficiency2,2030,0.48
biogas CHP,efficiency2,2035,0.48
biogas CHP,efficiency2,2040,0.48
biogas CHP,efficiency2,2045,0.48
biogas CHP,efficiency2,2050,0.48
biogas CHP,fixed_cost,2015,65000
biogas CHP,fixed_cost,2020,64000
biogas CHP,fixed_cost,2025,62000
biogas CHP,fixed_cost,2030,61000
biogas CHP,fixed_cost,2035,60000
biogas CHP,fixed_cost,2040,58000
biogas CHP,fixed_cost,2045,57000
biogas CHP,fixed_cost,2050,56000
biogas CHP,investment_cost,2015,6500000
biogas CHP,investment_cost,2020,6200000
biogas CHP,investment_cost,2025,6100000
biogas CHP,investment_cost,2030,5900000
biogas CHP,investment_cost,2035,5800000
biogas CHP,investment_cost,2040,5700000
biogas CHP,investment_cost,2045,5700000
biogas CHP,investment_cost,2050,5600000
biogas CHP,lifetime,2015,25
biogas CHP,lifetime,2020,25
biogas CHP,lifetime,2025,25
biogas CHP,lifetime,2030,25
biogas CHP,lifetime,2035,25
biogas CHP,lifetime,2040,25
biogas CHP,lifetime,2045,25
biogas CHP,lifetime,2050,25
biogas CHP,p_max_pu_annual,2015,0.95
biogas CHP,p_max_pu_annual,2020,0.95
biogas CHP,p_max_pu_annual,2025,0.95
biogas CHP,p_max_pu_annual,2030,0.95
biogas CHP,p_max_pu_annual,2035,0.95
biogas CHP,p_max_pu_annual,2040,0.95
biogas CHP,p_max_pu_annual,2045,0.95
biogas CHP,p_max_pu_annual,2050,0.95
biogas CHP,variable_cost,2015,49
biogas CHP,variable_cost,2020,49
biogas CHP,variable_cost,2025,49
biogas CHP,variable_cost,2030,49
biogas CHP,variable_cost,2035,49
biogas CHP,variable_cost,2040,49
biogas CHP,variable_cost,2045,49
biogas CHP,variable_cost,2050,49
biogas production,efficiency,2015,0.9
biogas production,efficiency,2020,0.9
biogas production,efficiency,2025,0.9
biogas production,efficiency,2030,0.9
biogas production,efficiency,2035,0.9
biogas production,efficiency,2040,0.9
biogas production,efficiency,2045,0.9
biogas production,efficiency,2050,0.9
biogas production,fixed_cost,2015,360000
biogas production,fixed_cost,2020,360000
biogas production,fixed_cost,2025,380000
biogas production,fixed_cost,2030,330000
biogas production,fixed_cost,2035,330000
biogas production,fixed_cost,2040,320000
biogas production,fixed_cost,2045,310000
biogas production,fixed_cost,2050,300000
biogas production,investment_cost,2015,7400000
biogas production,investment_cost,2020,7400000
biogas production,investment_cost,2025,7800000
biogas production,investment_cost,2030,6800000
biogas production,investment_cost,2035,6700000
biogas production,investment_cost,2040,6600000
biogas production,investment_cost,2045,6400000
biogas production,investment_cost,2050,6200000
biogas production,lifetime,2015,20
biogas production,lifetime,2020,20
biogas production,lifetime,2025,20
biogas production,lifetime,2030,20
biogas production,lifetime,2035,20
biogas production,lifetime,2040,20
biogas production,lifetime,2045,20
biogas production,lifetime,2050,20
biogas production,p_max_pu_annual,2015,0.95
biogas production,p_max_pu_annual,2020,0.95
biogas production,p_max_pu_annual,2025,0.95
biogas production,p_max_pu_annual,2030,0.95
biogas production,p_max_pu_annual,2035,0.95
biogas production,p_max_pu_annual,2040,0.95
biogas production,p_max_pu_annual,2045,0.95
biogas production,p_max_pu_annual,2050,0.95
biogas production,variable_cost,2015,2.2
biogas production,variable_cost,2020,2.2
biogas production,variable_cost,2025,2.2
biogas production,variable_cost,2030,2.2
biogas production,variable_cost,2035,2.2
biogas production,variable_cost,2040,2.2
biogas production,variable_cost,2045,2.2
biogas production,variable_cost,2050,2.2
biogas substrate supply,variable_cost,2020,200
biogas substrate supply,variable_cost,2021,200
biogas substrate supply,variable_cost,2022,200
biogas substrate supply,variable_cost,2023,200
biogas substrate supply,variable_cost,2024,200
biogas substrate supply,variable_cost,2025,200
biogas substrate supply,variable_cost,2030,200
biogas substrate supply,variable_cost,2035,220
biogas substrate supply,variable_cost,2040,240
biogas substrate supply,variable_cost,2045,260
biogas substrate supply,variable_cost,2050,280
biogas upgrading,co2_emissions,2015,-0.12
biogas upgrading,co2_emissions,2020,-0.12
biogas upgrading,co2_emissions,2025,-0.12
biogas upgrading,co2_emissions,2030,-0.12
biogas upgrading,co2_emissions,2035,-0.12
biogas upgrading,co2_emissions,2040,-0.12
biogas upgrading,co2_emissions,2045,-0.12
biogas upgrading,co2_emissions,2050,-0.12
biogas upgrading,efficiency,2015,0.9
biogas upgrading,efficiency,2020,0.9
biogas upgrading,efficiency,2025,0.9
biogas upgrading,efficiency,2030,0.9
biogas upgrading,efficiency,2035,0.9
biogas upgrading,efficiency,2040,0.9
biogas upgrading,efficiency,2045,0.9
biogas upgrading,efficiency,2050,0.9
biogas upgrading,fixed_cost,2015,36000
biogas upgrading,fixed_cost,2020,36000
biogas upgrading,fixed_cost,2025,39000
biogas upgrading,fixed_cost,2030,32000
biogas upgrading,fixed_cost,2035,30000
biogas upgrading,fixed_cost,2040,27000
biogas upgrading,fixed_cost,2045,25000
biogas upgrading,fixed_cost,2050,24000
biogas upgrading,investment_cost,2015,820000
biogas upgrading,investment_cost,2020,820000
biogas upgrading,investment_cost,2025,870000
biogas upgrading,investment_cost,2030,720000
biogas upgrading,investment_cost,2035,660000
biogas upgrading,investment_cost,2040,600000
biogas upgrading,investment_cost,2045,560000
biogas upgrading,investment_cost,2050,530000
biogas upgrading,lifetime,2015,20
biogas upgrading,lifetime,2020,20
biogas upgrading,lifetime,2025,20
biogas upgrading,lifetime,2030,20
biogas upgrading,lifetime,2035,20
biogas upgrading,lifetime,2040,20
biogas upgrading,lifetime,2045,20
biogas upgrading,lifetime,2050,20
biogas upgrading,p_max_pu_annual,2015,0.95
biogas upgrading,p_max_pu_annual,2020,0.95
biogas upgrading,p_max_pu_annual,2025,0.95
biogas upgrading,p_max_pu_annual,2030,0.95
biogas upgrading,p_max_pu_annual,2035,0.95
biogas upgrading,p_max_pu_annual,2040,0.95
biogas upgrading,p_max_pu_annual,2045,0.95
biogas upgrading,p_max_pu_annual,2050,0.95
biogas upgrading,variable_cost,2015,46
biogas upgrading,variable_cost,2020,46
biogas upgrading,variable_cost,2025,46
biogas upgrading,variable_cost,2030,46
biogas upgrading,variable_cost,2035,46
biogas upgrading,variable_cost,2040,46
biogas upgrading,variable_cost,2045,46
biogas upgrading,variable_cost,2050,46
biomass agriculture CHP,efficiency,2015,0.3
biomass agriculture CHP,efficiency,2020,0.3
biomass agriculture CHP,efficiency,2025,0.3
biomass agriculture CHP,efficiency,2030,0.3
biomass agriculture CHP,efficiency,2035,0.3
biomass agriculture CHP,efficiency,2040,0.3
biomass agriculture CHP,efficiency,2045,0.3
biomass agriculture CHP,efficiency,2050,0.3
biomass agriculture CHP,efficiency2,2015,0.39
biomass agriculture CHP,efficiency2,2020,0.39
biomass agriculture CHP,efficiency2,2025,0.39
biomass agriculture CHP,efficiency2,2030,0.39
biomass agriculture CHP,efficiency2,2035,0.39
biomass agriculture CHP,efficiency2,2040,0.39
biomass agriculture CHP,efficiency2,2045,0.39
biomass agriculture CHP,efficiency2,2050,0.39
biomass agriculture CHP,fixed_cost,2015,960000
biomass agriculture CHP,fixed_cost,2020,940000
biomass agriculture CHP,fixed_cost,2025,910000
biomass agriculture CHP,fixed_cost,2030,880000
biomass agriculture CHP,fixed_cost,2035,860000
biomass agriculture CHP,fixed_cost,2040,850000
biomass agriculture CHP,fixed_cost,2045,830000
biomass agriculture CHP,fixed_cost,2050,810000
biomass agriculture CHP,investment_cost,2015,24000000
biomass agriculture CHP,investment_cost,2020,23000000
biomass agriculture CHP,investment_cost,2025,23000000
biomass agriculture CHP,investment_cost,2030,22000000
biomass agriculture CHP,investment_cost,2035,22000000
biomass agriculture CHP,investment_cost,2040,22000000
biomass agriculture CHP,investment_cost,2045,21000000
biomass agriculture CHP,investment_cost,2050,21000000
biomass agriculture CHP,lifetime,2015,25
biomass agriculture CHP,lifetime,2020,25
biomass agriculture CHP,lifetime,2025,25
biomass agriculture CHP,lifetime,2030,25
biomass agriculture CHP,lifetime,2035,25
biomass agriculture CHP,lifetime,2040,25
biomass agriculture CHP,lifetime,2045,25
biomass agriculture CHP,lifetime,2050,25
biomass agriculture CHP,p_max_pu_annual,2015,0.88
biomass agriculture CHP,p_max_pu_annual,2020,0.88
biomass agriculture CHP,p_max_pu_annual,2025,0.88
biomass agriculture CHP,p_max_pu_annual,2030,0.88
biomass agriculture CHP,p_max_pu_annual,2035,0.88
biomass agriculture CHP,p_max_pu_annual,2040,0.88
biomass agriculture CHP,p_max_pu_annual,2045,0.88
biomass agriculture CHP,p_max_pu_annual,2050,0.88
biomass agriculture CHP,variable_cost,2015,14
biomass agriculture CHP,variable_cost,2020,14
biomass agriculture CHP,variable_cost,2025,14
biomass agriculture CHP,variable_cost,2030,14
biomass agriculture CHP,variable_cost,2035,14
biomass agriculture CHP,variable_cost,2040,14
biomass agriculture CHP,variable_cost,2045,14
biomass agriculture CHP,variable_cost,2050,14
biomass agriculture CHP CC,co2_emissions,2015,-0.36
biomass agriculture CHP CC,co2_emissions,2020,-0.36
biomass agriculture CHP CC,co2_emissions,2025,-0.36
biomass agriculture CHP CC,co2_emissions,2030,-0.36
biomass agriculture CHP CC,co2_emissions,2035,-0.36
biomass agriculture CHP CC,co2_emissions,2040,-0.36
biomass agriculture CHP CC,co2_emissions,2045,-0.36
biomass agriculture CHP CC,co2_emissions,2050,-0.36
biomass agriculture CHP CC,efficiency,2015,0.29
biomass agriculture CHP CC,efficiency,2020,0.29
biomass agriculture CHP CC,efficiency,2025,0.29
biomass agriculture CHP CC,efficiency,2030,0.29
biomass agriculture CHP CC,efficiency,2035,0.29
biomass agriculture CHP CC,efficiency,2040,0.29
biomass agriculture CHP CC,efficiency,2045,0.29
biomass agriculture CHP CC,efficiency,2050,0.29
biomass agriculture CHP CC,efficiency2,2015,0.39
biomass agriculture CHP CC,efficiency2,2020,0.39
biomass agriculture CHP CC,efficiency2,2025,0.39
biomass agriculture CHP CC,efficiency2,2030,0.39
biomass agriculture CHP CC,efficiency2,2035,0.39
biomass agriculture CHP CC,efficiency2,2040,0.39
biomass agriculture CHP CC,efficiency2,2045,0.39
biomass agriculture CHP CC,efficiency2,2050,0.39
biomass agriculture CHP CC,fixed_cost,2015,3000000
biomass agriculture CHP CC,fixed_cost,2020,2900000
biomass agriculture CHP CC,fixed_cost,2025,2400000
biomass agriculture CHP CC,fixed_cost,2030,2000000
biomass agriculture CHP CC,fixed_cost,2035,1900000
biomass agriculture CHP CC,fixed_cost,2040,1700000
biomass agriculture CHP CC,fixed_cost,2045,1700000
biomass agriculture CHP CC,fixed_cost,2050,1700000
biomass agriculture CHP CC,investment_cost,2015,89000000
biomass agriculture CHP CC,investment_cost,2020,87000000
biomass agriculture CHP CC,investment_cost,2025,73000000
biomass agriculture CHP CC,investment_cost,2030,60000000
biomass agriculture CHP CC,investment_cost,2035,57000000
biomass agriculture CHP CC,investment_cost,2040,54000000
biomass agriculture CHP CC,investment_cost,2045,52000000
biomass agriculture CHP CC,investment_cost,2050,50000000
biomass agriculture CHP CC,lifetime,2015,25
biomass agriculture CHP CC,lifetime,2020,25
biomass agriculture CHP CC,lifetime,2025,25
biomass agriculture CHP CC,lifetime,2030,25
biomass agriculture CHP CC,lifetime,2035,25
biomass agriculture CHP CC,lifetime,2040,25
biomass agriculture CHP CC,lifetime,2045,25
biomass agriculture CHP CC,lifetime,2050,25
biomass agriculture CHP CC,p_max_pu_annual,2015,0.88
biomass agriculture CHP CC,p_max_pu_annual,2020,0.88
biomass agriculture CHP CC,p_max_pu_annual,2025,0.88
biomass agriculture CHP CC,p_max_pu_annual,2030,0.88
biomass agriculture CHP CC,p_max_pu_annual,2035,0.88
biomass agriculture CHP CC,p_max_pu_annual,2040,0.88
biomass agriculture CHP CC,p_max_pu_annual,2045,0.88
biomass agriculture CHP CC,p_max_pu_annual,2050,0.88
biomass agriculture CHP CC,variable_cost,2015,330
biomass agriculture CHP CC,variable_cost,2020,330
biomass agriculture CHP CC,variable_cost,2025,330
biomass agriculture CHP CC,variable_cost,2030,330
biomass agriculture CHP CC,variable_cost,2035,330
biomass agriculture CHP CC,variable_cost,2040,330
biomass agriculture CHP CC,variable_cost,2045,330
biomass agriculture CHP CC,variable_cost,2050,330
biomass agriculture heat,efficiency,2015,0.85
biomass agriculture heat,efficiency,2020,0.85
biomass agriculture heat,efficiency,2025,0.85
biomass agriculture heat,efficiency,2030,0.85
biomass agriculture heat,efficiency,2035,0.85
biomass agriculture heat,efficiency,2040,0.85
biomass agriculture heat,efficiency,2045,0.85
biomass agriculture heat,efficiency,2050,0.85
biomass agriculture heat,fixed_cost,2015,340000
biomass agriculture heat,fixed_cost,2020,330000
biomass agriculture heat,fixed_cost,2025,320000
biomass agriculture heat,fixed_cost,2030,310000
biomass agriculture heat,fixed_cost,2035,310000
biomass agriculture heat,fixed_cost,2040,300000
biomass agriculture heat,fixed_cost,2045,290000
biomass agriculture heat,fixed_cost,2050,280000
biomass agriculture heat,investment_cost,2015,5900000
biomass agriculture heat,investment_cost,2020,5800000
biomass agriculture heat,investment_cost,2025,5600000
biomass agriculture heat,investment_cost,2030,5400000
biomass agriculture heat,investment_cost,2035,5300000
biomass agriculture heat,investment_cost,2040,5200000
biomass agriculture heat,investment_cost,2045,5000000
biomass agriculture heat,investment_cost,2050,4900000
biomass agriculture heat,lifetime,2015,25
biomass agriculture heat,lifetime,2020,25
biomass agriculture heat,lifetime,2025,25
biomass agriculture heat,lifetime,2030,25
biomass agriculture heat,lifetime,2035,25
biomass agriculture heat,lifetime,2040,25
biomass agriculture heat,lifetime,2045,25
biomass agriculture heat,lifetime,2050,25
biomass agriculture heat,p_max_pu_annual,2015,0.88
biomass agriculture heat,p_max_pu_annual,2020,0.88
biomass agriculture heat,p_max_pu_annual,2025,0.88
biomass agriculture heat,p_max_pu_annual,2030,0.88
biomass agriculture heat,p_max_pu_annual,2035,0.88
biomass agriculture heat,p_max_pu_annual,2040,0.88
biomass agriculture heat,p_max_pu_annual,2045,0.88
biomass agriculture heat,p_max_pu_annual,2050,0.88
biomass agriculture heat,variable_cost,2015,14
biomass agriculture heat,variable_cost,2020,14
biomass agriculture heat,variable_cost,2025,14
biomass agriculture heat,variable_cost,2030,14
biomass agriculture heat,variable_cost,2035,14
biomass agriculture heat,variable_cost,2040,14
biomass agriculture heat,variable_cost,2045,14
biomass agriculture heat,variable_cost,2050,14
biomass agriculture supply,variable_cost,2020,200
biomass agriculture supply,variable_cost,2021,200
biomass agriculture supply,variable_cost,2022,200
biomass agriculture supply,variable_cost,2023,200
biomass agriculture supply,variable_cost,2024,200
biomass agriculture supply,variable_cost,2025,200
biomass agriculture supply,variable_cost,2030,200
biomass agriculture supply,variable_cost,2035,220
biomass agriculture supply,variable_cost,2040,240
biomass agriculture supply,variable_cost,2045,260
biomass agriculture supply,variable_cost,2050,280
biomass wood boiler,efficiency,2015,0.75
biomass wood boiler,efficiency,2020,0.75
biomass wood boiler,efficiency,2025,0.75
biomass wood boiler,efficiency,2030,0.75
biomass wood boiler,efficiency,2035,0.75
biomass wood boiler,efficiency,2040,0.75
biomass wood boiler,efficiency,2045,0.75
biomass wood boiler,efficiency,2050,0.75
biomass wood boiler,fixed_cost,2015,230000
biomass wood boiler,fixed_cost,2020,230000
biomass wood boiler,fixed_cost,2025,230000
biomass wood boiler,fixed_cost,2030,230000
biomass wood boiler,fixed_cost,2035,230000
biomass wood boiler,fixed_cost,2040,230000
biomass wood boiler,fixed_cost,2045,230000
biomass wood boiler,fixed_cost,2050,230000
biomass wood boiler,investment_cost,2015,3000000
biomass wood boiler,investment_cost,2020,3000000
biomass wood boiler,investment_cost,2025,3000000
biomass wood boiler,investment_cost,2030,3000000
biomass wood boiler,investment_cost,2035,3000000
biomass wood boiler,investment_cost,2040,3000000
biomass wood boiler,investment_cost,2045,3000000
biomass wood boiler,investment_cost,2050,3000000
biomass wood boiler,lifetime,2015,20
biomass wood boiler,lifetime,2020,20
biomass wood boiler,lifetime,2025,20
biomass wood boiler,lifetime,2030,20
biomass wood boiler,lifetime,2035,20
biomass wood boiler,lifetime,2040,20
biomass wood boiler,lifetime,2045,20
biomass wood boiler,lifetime,2050,20
biomass wood CHP,efficiency,2015,0.26
biomass wood CHP,efficiency,2020,0.26
biomass wood CHP,efficiency,2025,0.26
biomass wood CHP,efficiency,2030,0.26
biomass wood CHP,efficiency,2035,0.26
biomass wood CHP,efficiency,2040,0.26
biomass wood CHP,efficiency,2045,0.26
biomass wood CHP,efficiency,2050,0.26
biomass wood CHP,efficiency2,2015,0.45
biomass wood CHP,efficiency2,2020,0.45
biomass wood CHP,efficiency2,2025,0.45
biomass wood CHP,efficiency2,2030,0.45
biomass wood CHP,efficiency2,2035,0.45
biomass wood CHP,efficiency2,2040,0.45
biomass wood CHP,efficiency2,2045,0.45
biomass wood CHP,efficiency2,2050,0.45
biomass wood CHP,fixed_cost,2015,980000
biomass wood CHP,fixed_cost,2020,980000
biomass wood CHP,fixed_cost,2025,980000
biomass wood CHP,fixed_cost,2030,980000
biomass wood CHP,fixed_cost,2035,980000
biomass wood CHP,fixed_cost,2040,980000
biomass wood CHP,fixed_cost,2045,980000
biomass wood CHP,fixed_cost,2050,980000
biomass wood CHP,investment_cost,2015,23000000
biomass wood CHP,investment_cost,2020,23000000
biomass wood CHP,investment_cost,2025,23000000
biomass wood CHP,investment_cost,2030,23000000
biomass wood CHP,investment_cost,2035,23000000
biomass wood CHP,investment_cost,2040,23000000
biomass wood CHP,investment_cost,2045,23000000
biomass wood CHP,investment_cost,2050,23000000
biomass wood CHP,lifetime,2015,25
biomass wood CHP,lifetime,2020,25
biomass wood CHP,lifetime,2025,25
biomass wood CHP,lifetime,2030,25
biomass wood CHP,lifetime,2035,25
biomass wood CHP,lifetime,2040,25
biomass wood CHP,lifetime,2045,25
biomass wood CHP,lifetime,2050,25
biomass wood CHP,p_max_pu_annual,2015,0.91
